Gene	control_1	control_2	control_3	control_4	control_5	control_6	control_7	control_8	control_9	control_10	control_11	control_12	control_13	control_14	control_15	control_16	control_17	control_18	control_19	control_20	control_21	control_22	control_23	control_24	control_25	control_26	control_27	control_28	control_29	control_30	control_31	control_32	control_33	control_34	control_35	control_36	control_37	control_38	control_39	control_40	control_41	control_42	control_43	control_44	control_45	control_46	control_47	control_48
16	7.387571004	7.450236803	7.349563197	7.42716275559018	7.40773316665642	7.36737873250618	7.3911084908458	7.43253817487061	7.38498250998636	7.41029814002089	7.40006183127832	7.41473800846282	7.38819166227944	7.4439960415083	7.37112978436176	7.41699212331786	7.42390502553569	7.38617680121446	7.39514612292199	7.39993587578053	7.39335290352976	7.4099995688699	7.39980380270989	7.41177223074179	7.39150613509429	7.44276457583261	7.36269495058911	7.42365782947381	7.41717102014021	7.40137831900989	7.38979310686493	7.41553283389389	7.36532157280009	7.41034113608268	7.39992016424359	7.41445997078924	7.38767599867686	7.44286916430017	7.36252521074399	7.41166884324879	7.42539961575138	7.39705306335217	7.38916853198152	7.38554937160944	7.39435990224525	7.40370005927266	7.39653616021005	7.4141029345569
18	8.154679926	8.291892937	7.989135316	8.16616828904741	8.2386675211207	8.0899343432202	8.19934684605911	8.11651901067773	8.00019435902304	8.15223133292211	8.17628502900601	8.10759417675808	8.17843502631808	8.18513692176512	7.98962544284566	8.1722339345857	8.27820114607591	8.11528009393704	8.18689199388538	8.06768046424966	8.08910396685129	8.17559149853464	8.19240273426147	8.10729964658125	8.1658012771635	8.26106183807652	7.98915703798122	8.15545987268254	8.14794068844286	8.10436563699765	8.1880531295684	8.1678026862661	7.99461055848307	8.10859514368483	8.18369814537871	8.10833863391675	8.16234395181975	8.1730911481345	7.98941404821966	8.1641258677354	8.26996439228166	8.15246802518606	8.18120699726362	8.01315647466343	8.13209036046887	8.17627364386412	8.19209162257433	8.10751651197516
19	14.05355316	13.83099145	13.82848513	13.8950157367455	13.8308409651089	13.9341829105292	13.91226433008	13.8296162197067	13.830462221262	13.9166294044117	13.9710822977498	13.9322215267116	13.9639193908662	13.8865368983397	13.8301443674583	13.9045340483321	13.8309357250823	13.9330852885962	13.9287698541534	13.8298749823581	13.9428420771359	13.9428050959009	13.9145881464923	13.9334880136181	13.9832944819778	13.8309088781892	13.8298776145028	13.9155470516682	13.8300697458794	13.9333038794551	13.9267597960591	13.8299908270175	13.8288821820768	13.924733395338	13.9304415601774	13.9221535234164	13.9501256078199	13.922217507595	13.8290398314663	13.9100270867433	13.8301712235802	13.9269563641949	13.9311574211175	13.8301025230926	13.9436312530912	13.9434784192028	13.915017687007	13.9331148331954
20	13.64726729	13.49977695	13.61400651	13.5841615582627	13.5659450166306	13.615480597871	13.5781895654334	13.5730947008545	13.5705413481345	13.6081841468445	13.5936752922638	13.6095914278192	13.5885904744906	13.570260899382	13.574698112288	13.5795808709701	13.5433822100371	13.6084684661396	13.5801060230438	13.5715804651624	13.5862503783676	13.6006096657202	13.5903937027138	13.6123294588398	13.6076348205006	13.5422466384392	13.5784573468457	13.6036669869631	13.5683830044783	13.6141085877006	13.5794767443651	13.5688546650168	13.6000562262725	13.6103482451397	13.5907998203818	13.6089371456488	13.6032917900488	13.603519067266	13.5839259082266	13.5931523048548	13.5644776046409	13.6069815144621	13.5862315645751	13.570704570301	13.588113312183	13.5985329641957	13.5829812928351	13.610491286992
22	15.10605167	15.21679294	14.95582342	15.1605457631296	15.049290778143	15.0916846832538	15.0713694305883	15.1199449306346	15.0447321027637	15.1111134746657	15.0670343688726	15.1357879947285	15.0848600063165	15.1867313155685	15.0403957672646	15.0965300636622	15.1016523550858	15.078673415966	15.0703198715312	15.1088038529925	15.0639152856611	15.0804004587719	15.0708705563904	15.0939490420012	15.0903781768623	15.1546314625207	15.036270927482	15.1427732688333	15.0713774354195	15.1041282005608	15.074635625367	15.1094791175422	14.9682577429701	15.0991538061618	15.0699417794506	15.1123803175279	15.0796406217861	15.1407194721984	14.9764669540134	15.0977728436706	15.1041120546119	15.0741077015926	15.0737621260885	15.0602554243524	15.0666880725774	15.0729214502928	15.0705303615109	15.1144120675477
23	14.961471	14.8074855	14.87743532	14.8474760901245	14.8638330161405	14.9481909318089	14.8909330846732	14.8673170271066	14.875091498059	14.8615319144971	14.918131916526	14.8527231484313	14.9105113498519	14.8461794893249	14.8770314544969	14.8535409746333	14.8324967672244	14.8939161133651	14.9063571517228	14.8733671448113	14.9025336667204	14.8711154652845	14.9018563873066	14.8845045198272	14.8961942418662	14.8556823065015	14.877365729669	14.8482083727633	14.8657705609045	14.8660466901651	14.9020356377705	14.864605758834	14.8765858970288	14.865421651635	14.9110860062589	14.8556556001545	14.8986002404022	14.8482505946082	14.8772181355118	14.8570781397678	14.8602189578809	14.8980449737207	14.9078964948054	14.8736190691184	14.9111846331631	14.8983569936055	14.9043520500584	14.8799641097351
25	14.86847249	14.98346506	14.91633309	14.916448534153	14.926043778819	14.9080861984773	14.8893011291843	14.9735112473647	14.92257493438	14.9110860447917	14.9017038993137	14.9082371728886	14.8760080553689	14.9723108469886	14.9203452277578	14.8990398009978	14.9503202383818	14.9077470510324	14.894739267213	14.9671481065269	14.9201041067375	14.9089864933826	14.8991908635408	14.9081929673627	14.8831299968177	14.9749510736809	14.9189120151393	14.9111828596895	14.9461119844911	14.9081403579907	14.8834726272061	14.9675814466023	14.9218359905957	14.9104386273319	14.9002927331442	14.9090713267003	14.8890684700403	14.9269360027682	14.9185411035017	14.9057537444845	14.9561849611884	14.9005556397873	14.8854889596093	14.962599681682	14.9059065129366	14.9083642019777	14.8948418258426	14.9082318271465
32	8.015626766	8.338381041	8.550620446	8.02465806161297	8.48021107601385	8.40595795270899	8.24498511645599	8.39697227879768	8.52367364488005	8.0797783541176	8.41787658429625	8.02612726265438	8.12885756564178	8.25217963377181	8.54030747074201	8.05650829811506	8.46118136934422	8.24560536698368	8.27468609078097	8.40438393066839	8.42121900484267	8.22945838793997	8.33437668028722	8.10640789417115	8.12119225115816	8.37753492624742	8.54667350409033	8.02487044769815	8.46904270892995	8.08103516907383	8.22503559871378	8.40184150007113	8.54976912233159	8.09156756240119	8.34872110419716	8.03746690322848	8.21233805425408	8.16104108177255	8.54349307330657	8.06845485851324	8.43079142123771	8.29152748865335	8.16456240024138	8.45906089646981	8.41975436120338	8.2298761727173	8.29257706971609	8.10042833016848
33	7.901559108	7.853407063	7.846297398	7.89318515360438	7.85065139604057	7.89959676924144	7.87988106223802	7.85207360227438	7.8482510678729	7.89797090692789	7.89150301679744	7.89714272208044	7.89232793948013	7.8616099507159	7.84717402356039	7.88325472372883	7.85286272036111	7.89205057846246	7.88385855313962	7.85011795238121	7.87448070189138	7.89500699007993	7.88180989761795	7.89959560477867	7.89876901772404	7.85289022097393	7.84669074612078	7.89613915889095	7.8517926657513	7.89897447011738	7.88414087419397	7.85134598620161	7.84706628783331	7.89871542627433	7.88512726503213	7.89797051394831	7.89206488784372	7.87271847680998	7.84637721137454	7.8938862015843	7.85227168888939	7.88503182265502	7.89155613409826	7.84862595803008	7.88853623203253	7.8939107267799	7.88227628731174	7.89776583824039
48	12.09440651	12.00707993	11.91645465	12.0740737445332	11.9415032297024	12.017518897871	12.0006929265344	11.9795756757024	11.9186818715867	12.0374866860814	12.0562591762361	12.0192714912925	12.0369699677043	12.0107799991427	11.916652685819	12.0266014510726	11.9907194158991	12.0169974732997	12.0251323983367	11.9648746501005	11.9719511445739	12.0441130610301	12.0305510250264	12.0190911922175	12.0635819304446	11.9871777764179	11.9164722585693	12.0386204923197	11.9700771070521	12.0181376850542	12.0166485062163	11.9703841986465	11.9178195020628	12.0309933845159	12.041858133927	12.0211453901277	12.0291413424624	12.0166885093261	11.9165890728586	12.0315123101641	11.9796387408014	12.0193874346348	12.0314453874667	11.9294469559451	11.9948365107898	12.0558858059798	12.02718459135	12.019162274971
